Date,High,Low,Open,Volume,Close
2010-01-04,44196.39844,42899.19922,42943.89844,497686,39034.73828
2010-01-05,44822.69922,43928,44375.39844,469947,39153.75
2010-01-06,46343.60156,44464.80078,44464.80078,636396,40145.45703
2010-01-07,46254.19922,44912.19922,45627.89844,423085,39986.80859
2010-01-08,45985.80078,44420.10156,45985.80078,502115,40145.45703
2010-01-11,45449,44196.39844,45001.60156,486685,39748.79688
2010-01-12,44912.19922,43614.89844,44688.5,467379,39233.11328
2010-01-13,44509.60156,43033.39844,43972.80078,430391,38201.67969
2010-01-14,45180.60156,43301.80078,43570.19922,696010,39590.14453
2010-01-15,45985.80078,44688.5,45180.60156,577717,40462.83984
2010-01-18,45985.80078,44912.19922,45627.89844,389451,40700.86328
2010-01-19,46701.5,45270,46433.10156,386881,40145.45703
2010-01-20,45717.39844,44285.89844,45627.89844,501268,39590.14453
2010-01-21,44822.69922,44062.19922,44151.69922,383567,39748.79688
2010-01-22,44464.80078,42630.80078,44151.69922,603939,38400.05859
2010-01-25,42899.19922,41378.19922,42228.19922,550373,37130.60547
2010-01-26,42407.10156,40483.60156,42138.69922,427493,36376.90625
2010-01-27,41736.10156,40886.19922,41646.60156,290881,36614.92578
2010-01-28,42586,40707.19922,41512.39844,388050,37606.63672
2010-01-29,42675.5,41423,42049.19922,452498,37090.96484
2010-02-01,42809.69922,41646.60156,41959.80078,447513,37527.26953
2010-02-02,42854.39844,38962.69922,42854.39844,2037200,35067.81641
2010-02-03,41423,40170.5,40528.30078,1038416,36614.92578
2010-02-04,41288.80078,40438.89844,41288.80078,420875,36218.17578
2010-02-05,39633.69922,38291.69922,39365.30078,671947,34274.39453
2010-02-08,39007.39844,37173.30078,38739,413083,33163.67188
2010-02-09,38873.19922,37128.60156,37128.60156,404794,34472.76953
2010-02-10,40304.69922,39544.19922,39723.10156,476990,35345.47266
2010-02-11,40617.80078,39902.10156,40081,330362,35662.85547
2010-02-12,40573.10156,39723.10156,40215.19922,293517,35861.23047
