Date,Stock
2010-01-04,39034.73828
2010-01-05,39153.75
2010-01-06,40145.45703
2010-01-07,39986.80859
2010-01-08,40145.45703
2010-01-11,39748.79688
2010-01-12,39233.11328
2010-01-13,38201.67969
2010-01-14,39590.14453
2010-01-15,40462.83984
2010-01-18,40700.86328
2010-01-19,40145.45703
2010-01-20,39590.14453
2010-01-21,39748.79688
2010-01-22,38400.05859
2010-01-25,37130.60547
2010-01-26,36376.90625
2010-01-27,36614.92578
2010-01-28,37606.63672
2010-01-29,37090.96484
2010-02-01,37527.26953
2010-02-02,35067.81641
2010-02-03,36614.92578
2010-02-04,36218.17578
2010-02-05,34274.39453
2010-02-08,33163.67188
2010-02-09,34472.76953
2010-02-10,35345.47266
2010-02-11,35662.85547
2010-02-12,35861.23047
2010-02-16,35980.24609
2010-02-17,36337.18359
2010-02-18,35821.50391
2010-02-19,35067.81641
2010-02-22,35385.20313
2010-02-23,34750.42969
2010-02-24,34671.15234
2010-02-25,33758.72266
2010-02-26,33996.73438
2010-03-02,33481.06641
2010-03-03,34353.76172
2010-03-04,34195.12109
2010-03-05,34790.16016
2010-03-08,34115.74609
2010-03-09,34552.13672
2010-03-10,35305.83594
2010-03-11,34948.80859
2010-03-12,35186.82422
2010-03-15,34552.13672
2010-03-16,34909.16797
2010-03-17,34115.74609
2010-03-18,33639.71094
2010-03-19,33758.72266
2010-03-22,33401.69531
2010-03-23,32568.63672
2010-03-24,33005.02734
2010-03-25,32767.01367
2010-03-26,33679.35156
2010-03-29,33481.06641
2010-03-30,33243.04297
2010-03-31,32727.2832
2010-04-01,32727.2832
2010-04-02,31894.22266
2010-04-05,32370.26172
2010-04-06,31775.21289
2010-04-07,32449.62891
2010-04-08,32767.01367
2010-04-09,32528.99609
2010-04-12,32092.59961
2010-04-13,32687.64258
2010-04-14,33639.71094
2010-04-15,33282.6875
2010-04-16,33322.32422
2010-04-19,32449.62891
2010-04-20,32370.26172
2010-04-21,33441.33594
2010-04-22,33639.71094
2010-04-23,34314.12109
2010-04-26,33758.72266
2010-04-27,33005.02734
2010-04-28,32290.97461
2010-04-29,32330.61914
2010-04-30,32806.64844
2010-05-03,32211.60742
2010-05-04,31775.21289
2010-05-06,30109.09375
2010-05-07,29553.7793
2010-05-10,30188.46094
2010-05-11,29990.08398
2010-05-12,29276.0293
2010-05-13,29038.01563
2010-05-14,29752.06445
2010-05-17,28760.35938
2010-05-18,29117.38086
2010-05-19,28046.30664
2010-05-20,27173.60547
2010-05-24,26975.22852
2010-05-25,25983.52148
2010-05-26,25626.49414
2010-05-27,26102.52734
2010-05-28,26737.21289
2010-05-31,27332.25391
2010-06-01,27252.88477
2010-06-03,27728.91992
2010-06-04,27292.61719
2010-06-07,26340.54688
2010-06-08,26697.57031
2010-06-09,28720.71875
2010-06-10,28919.00781
2010-06-11,28919.00781
2010-06-14,29157.02539
2010-06-15,29474.41016
2010-06-16,29315.75977
2010-06-17,30505.84375
2010-06-18,30386.83789
2010-06-21,30426.47656
2010-06-22,29831.43555
2010-06-23,29871.07813
2010-06-24,30664.5
2010-06-25,30347.10938
2010-06-28,30981.87891
